"","SITE ERECTION PROJECT SUMMARY REPORT","","","","","","","",""
"","JOB NO : W14026","","","","","","","",""
"","DESCRIPTION :","","","","UPDATED : 21-02-2015","","","",""
"","NO","BUILDING","TOTAL WEIGHT","PROGRESS WEIGHT","PROGRESS %","","","",""
"","1","BAGASSEHOUSE","96847.945","0","0.00%","","","",""
"","2","BOILERHOUSE","62998.3","0","0.00%","","","",""
"","3","CLARIFICATIONSTRUCTU","158951.5","0","0.00%","","","",""
"","4","COALHOUSE","35203.336","0","0.00%","","","",""
"","5","CONTROLROOM","36337","0","0.00%","","","",""
"","6","MILLHOUSE","206968.44","187133.85","90.42%","","","",""
"","7","POWERHOUSE","93634.92","43674.525","46.64%","","","",""
"","8","PROCESSHOUSE","1125013.76","0","0.00%","","","",""
"","9","SUGARWAREHOUSE","164784.46","158017","95.89%","","","",""
"","10","WORKINGPLATFORMSURF","5054.4","0","0.00%","","","",""
"","11","WSHOPWAREHOUSE","101435.693","10517.421","10.37%","","","",""
"","","","","","","","","",""
"","TOTAL PROJECT WEIGHT","","","2,087,229.75","","","","",""
"","TOTAL PROGRESS WEIGHT","","","399,342.80","","","","",""
"","TOTAL PERCENTAGE","","","19.13","","","","",""
